name,code,date,case
Afghanistan,AFG,2020,2189
Albania,ALB,2020,1181
Algeria,DZA,2020,2756
Andorra,AND,2020,84
Angola,AGO,2020,405
Antarctica,ATA,2020,0
Antigua and Barbuda,ATG,2020,5
Argentina,ARG,2020,43245
Armenia,ARM,2020,2823
Australia,AUS,2020,909
Austria,AUT,2020,6222
Azerbaijan,AZE,2020,2641
Bahamas,BHS,2020,170
Bahrain,BHR,2020,352
Bangladesh,BGD,2020,7559
Barbados,BRB,2020,7
Belarus,BLR,2020,1424
Belgium,BEL,2020,19528
Belize,BLZ,2020,248
Benin,BEN,2020,44
Bhutan,BTN,2020,0
Bolivia,BOL,2020,9165
Bosnia and Herzegovina,BIH,2020,4050
Botswana,BWA,2020,42
Brazil,BRA,2020,195072
Brunei,BRN,2020,3
Bulgaria,BGR,2020,7576
Burkina Faso,BFA,2020,85
Burma,MMR,2020,2682
Burundi,BDI,2020,2
Cambodia,CMR,2020,0
Cameroon,CAN,2020,448
Canada,CPV,2020,16685
Capo Verde,KHM,2020,113
Central African Republic,CAF,2020,63
Chad,TCD,2020,104
Chile,CHL,2020,16608
China,CHN,2020,4782
Colombia,COL,2020,43213
Comoros,COM,2020,10
Congo,COG,2020,108
Costa Rica,CRI,2020,2185
Cote d'Ivoire,CIV,2020,137
Croatia,HRV,2020,3920
Cuba,CUB,2020,146
Cyprus,CYP,2020,120
Czechia,CZE,2020,11580
Denmark,DNK,2020,1298
Diamond Princess,DJI,2020,13
Djibouti,DMA,2020,61
Dominica,DOM,2020,0
Ecuador,ECU,2020,14034
Egypt,EGY,2020,7631
El Salvador,SLV,2020,1327
Equatorial Guinea,GNQ,2020,86
Eritrea,ERI,2020,3
Estonia,EST,2020,229
Ethiopia,ETH,2020,1923
Fiji,FJI,2020,2
Finland,FIN,2020,592
France,FRA,2020,64758
Gabon,GAB,2020,64
Gambia,GMB,2020,124
Georgia,GEO,2020,2505
Germany,DEU,2020,33071
Ghana,GHA,2020,335
Greece,GRC,2020,4838
Grenada,GRD,2020,0
Guatemala,GTM,2020,4813
Guinea,GIN,2020,81
Guinea-Bissau,GNB,2020,45
Guyana,GUY,2020,164
Haiti,HTI,2020,236
Holy See,VAT,2020,0
Honduras,HND,2020,3130
Hungary,HUN,2020,9537
Iceland,ISL,2020,29
India,IND,2020,148994
Indonesia,IDN,2020,22138
Iran,IRN,2020,55223
Iraq,IRQ,2020,12813
Ireland,IRL,2020,2237
Israel,ISR,2020,3325
Italy,ITA,2020,74159
Jamaica,JAM,2020,302
Japan,JPN,2020,3492
Jordan,JOR,2020,3834
Kazakhstan,KAZ,2020,2749
Kenya,KEN,2020,1670
Kiribati,KIR,2020,0
Kuwait,KWT,2020,934
Kyrgyzstan,KGZ,2020,1355
Laos,LAO,2020,0
Latvia,LVA,2020,635
Lebanon,LBN,2020,1468
Lesotho,LSO,2020,51
Liberia,LBR,2020,83
Libya,LBY,2020,1478
Liechtenstein,LIE,2020,44
Lithuania,LTU,2020,1796
Luxembourg,LUX,2020,495
Madagascar,MDG,2020,261
Malawi,MWI,2020,189
Malaysia,MYS,2020,471
Maldives,MDV,2020,48
Mali,MLI,2020,269
Malta,MLT,2020,219
Marshall Islands,MHL,2020,0
Mauritania,MRT,2020,347
Mauritius,MUS,2020,10
Mexico,MEX,2020,125807
Micronesia, Federated States of,2020,0
Monaco,MCO,2020,3
Mongolia,MNG,2020,1
Montenegro,MNE,2020,682
Morocco,MAR,2020,7388
Mozambique,MOZ,2020,166
Namibia,NAM,2020,205
Nepal,NPL,2020,1856
Netherlands,NLD,2020,11525
New Zealand,NZL,2020,25
Nicaragua,NIC,2020,165
Niger,NER,2020,104
Nigeria,NGA,2020,1289
North Macedonia,MNP,2020,2503
Norway,NOR,2020,436
Oman,OMN,2020,1499
Pakistan,PAK,2020,10176
Palau,PLW,2020,0
Panama,PAN,2020,4022
Papua New Guinea,PNG,2020,9
Paraguay,PRY,2020,2262
Peru,PER,2020,93070
Philippines,PHL,2020,9244
Poland,POL,2020,28554
Portugal,PRT,2020,6906
Qatar,QAT,2020,245
Romania,ROU,2020,15767
Russia,RUS,2020,56271
Rwanda,RWA,2020,92
Saint Kitts and Nevis,KNA,2020,0
Saint Lucia,LCA,2020,5
Saint Vincent and the Grenadines,VCT,2020,0
Samoa,WSM,2020,0
San Marino,SMR,2020,59
Sao Tome and Principe,STP,2020,17
Saudi Arabia,SAU,2020,6223
Senegal,SEN,2020,410
Serbia,SRB,2020,3211
Seychelles,SYC,2020,0
Sierra Leone,SLE,2020,76
Singapore,SGP,2020,29
Slovakia,SVK,2020,2138
Slovenia,SVN,2020,2697
Solomon Islands,SLB,2020,0
Somalia,SOM,2020,130
South Africa,ZAF,2020,28469
Spain,ESP,2020,50837
Sri Lanka,LKA,2020,204
Sudan,SDN,2020,1468
Suriname,SUR,2020,122
Sweden,SWE,2020,8727
Switzerland,CHE,2020,7873
Syria,SYR,2020,711
Taiwan*,TWN,2020,7
Tajikistan,TJK,2020,90
Thailand,THA,2020,61
Timor-Leste,TLS,2020,0
Togo,TGO,2020,68
Tonga,TON,2020,0
Trinidad and Tobago,TTO,2020,127
Tunisia,TUN,2020,4676
Turkey,TUR,2020,20881
Uganda,UGA,2020,251
Ukraine,URY,2020,19281
United Arab Emirates,ARE,2020,669
United Kingdom,GBR,2020,73621
Uruguay,URY,2020,181
US,USA,2020,349854
Uzbekistan,UZB,2020,614
Vanuatu,VUT,2020,0
Venezuela,VEN,2020,1028
Vietnam,VNM,2020,35
Yemen,YEM,2020,610
Zambia,ZMB,2020,388
Zimbabwe,ZWE,2020,363
Afghanistan,AFG,2021,7356
Albania,ALB,2021,3217
Algeria,DZA,2021,6276
Andorra,AND,2021,140
Angola,AGO,2021,1770
Antarctica,ATA,2021,0
Antigua and Barbuda,ATG,2021,119
Argentina,ARG,2021,117169
Armenia,ARM,2021,7972
Australia,AUS,2021,2253
Austria,AUT,2021,13733
Azerbaijan,AZE,2021,8358
Bahamas,BHS,2021,717
Bahrain,BHR,2021,1394
Bangladesh,BGD,2021,28072
Barbados,BRB,2021,260
Belarus,BLR,2021,5578
Belgium,BEL,2021,28331
Belize,BLZ,2021,602
Benin,BEN,2021,161
Bhutan,BTN,2021,3
Bolivia,BOL,2021,19680
Bosnia and Herzegovina,BIH,2021,13442
Botswana,BWA,2021,2444
Brazil,BRA,2021,619334
Brunei,BRN,2021,98
Bulgaria,BGR,2021,30955
Burkina Faso,BFA,2021,318
Burma,MMR,2021,19268
Burundi,BDI,2021,38
Cambodia,CMR,2021,3012
Cameroon,CAN,2021,1851
Canada,CPV,2021,30570
Capo Verde,KHM,2021,352
Central African Republic,CAF,2021,101
Chad,TCD,2021,181
Chile,CHL,2021,39115
China,CHN,2021,4849
Colombia,COL,2021,129942
Comoros,COM,2021,157
Congo,COG,2021,367
Costa Rica,CRI,2021,7353
Cote d'Ivoire,CIV,2021,714
Croatia,HRV,2021,12538
Cuba,CUB,2021,8322
Cyprus,CYP,2021,638
Czechia,CZE,2021,36129
Denmark,DNK,2021,3282
Djibouti,DJI,2021,189
Dominica,DMA,2021,47
Dominican Republic,DOM,2021,4247
Ecuador,ECU,2021,33681
Egypt,EGY,2021,21752
El Salvador,SLV,2021,3824
Equatorial Guinea,GNQ,2021,175
Eritrea,ERI,2021,76
Estonia,EST,2021,1932
Ethiopia,ETH,2021,6937
Fiji,FJI,2021,698
Finland,FIN,2021,1714
France,FRA,2021,124729
Gabon,GAB,2021,288
Gambia,GMB,2021,343
Georgia,GEO,2021,13800
Germany,DEU,2021,111925
Ghana,GHA,2021,1295
Greece,GRC,2021,20790
Grenada,GRD,2021,200
Guatemala,GTM,2021,16107
Guinea,GIN,2021,391
Guinea-Bissau,GNB,2021,149
Guyana,GUY,2021,1054
Haiti,HTI,2021,766
Holy See,VAT,2021,0
Honduras,HND,2021,10433
Hungary,HUN,2021,39186
Iceland,ISL,2021,37
India,IND,2021,481486
Indonesia,IDN,2021,144094
Iran,IRN,2021,131606
Iraq,IRQ,2021,24158
Ireland,IRL,2021,5912
Israel,ISR,2021,8243
Italy,ITA,2021,137402
Jamaica,JAM,2021,2473
Japan,JPN,2021,18389
Jordan,JOR,2021,12653
Kazakhstan,KAZ,2021,18211
Kenya,KEN,2021,5378
Kiribati,KIR,2021,0
Kuwait,KWT,2021,2468
Kyrgyzstan,KGZ,2021,2802
Laos,LAO,2021,372
Latvia,LVA,2021,4570
Lebanon,LBN,2021,9119
Lesotho,LSO,2021,665
Liberia,LBR,2021,287
Libya,LBY,2021,5710
Liechtenstein,LIE,2021,69
Lithuania,LTU,2021,7387
Luxembourg,LUX,2021,915
Madagascar,MDG,2021,1027
Malawi,MWI,2021,2364
Malaysia,MYS,2021,31487
Maldives,MDV,2021,262
Mali,MLI,2021,660
Malta,MLT,2021,476
Marshall Islands,MHL,2021,0
Mauritania,MRT,2021,866
Mauritius,MUS,2021,786
Mexico,MEX,2021,299428
Micronesia, Federated States of,2021,0
Monaco,MCO,2021,38
Mongolia,MNG,2021,2059
Montenegro,MNE,2021,2411
Morocco,MAR,2021,14849
Mozambique,MOZ,2021,2006
Namibia,NAM,2021,3633
Nepal,NPL,2021,11594
Netherlands,NLD,2021,21392
New Zealand,NZL,2021,51
Nicaragua,NIC,2021,217
Niger,NER,2021,275
Nigeria,NGA,2021,3030
North Macedonia,MNP,2021,7960
Norway,NOR,2021,1305
Oman,OMN,2021,4116
Pakistan,PAK,2021,28933
Palau,PLW,2021,0
Panama,PAN,2021,7428
Papua New Guinea,PNG,2021,590
Paraguay,PRY,2021,16624
Peru,PER,2021,202690
Philippines,PHL,2021,51504
Poland,POL,2021,97054
Portugal,PRT,2021,18955
Qatar,QAT,2021,618
Romania,ROU,2021,58752
Russia,RUS,2021,302671
Rwanda,RWA,2021,1350
Saint Kitts and Nevis,KNA,2021,28
Saint Lucia,LCA,2021,295
Saint Vincent and the Grenadines,VCT,2021,81
Samoa,WSM,2021,0
San Marino,SMR,2021,100
Sao Tome and Principe,STP,2021,57
Saudi Arabia,SAU,2021,8877
Senegal,SEN,2021,1890
Serbia,SRB,2021,12714
Seychelles,SYC,2021,134
Sierra Leone,SLE,2021,123
Singapore,SGP,2021,828
Slovakia,SVK,2021,16635
Slovenia,SVN,2021,5589
Solomon Islands,SLB,2021,0
Somalia,SOM,2021,1333
South Africa,ZAF,2021,91145
Spain,ESP,2021,89405
Sri Lanka,LKA,2021,14979
Sudan,SDN,2021,3331
Suriname,SUR,2021,1189
Sweden,SWE,2021,15310
Switzerland,CHE,2021,12217
Syria,SYR,2021,2897
Taiwan*,TWN,2021,850
Tajikistan,TJK,2021,125
Thailand,THA,2021,21698
Timor-Leste,TLS,2021,122
Togo,TGO,2021,248
Tonga,TON,2021,0
Trinidad and Tobago,TTO,2021,2869
Tunisia,TUN,2021,25569
Turkey,TUR,2021,82361
Uganda,UGA,2021,3294
Ukraine,URY,2021,102088
United Arab Emirates,ARE,2021,2164
United Kingdom,GBR,2021,149096
Uruguay,URY,2021,6170
US,USA,2021,824338
Uzbekistan,UZB,2021,1485
Vanuatu,VUT,2021,1
Venezuela,VEN,2021,5328
Vietnam,VNM,2021,32394
Yemen,YEM,2021,1984
Zambia,ZMB,2021,3734
Zimbabwe,ZWE,2021,5004
Afghanistan,AFG,2022,7683
Albania,ALB,2022,3496
Algeria,DZA,2022,6875
Andorra,AND,2022,153
Angola,AGO,2022,1900
Antarctica,ATA,2022,0
Antigua and Barbuda,ATG,2022,137
Argentina,ARG,2022,128653
Armenia,ARM,2022,8622
Australia,AUS,2022,7423
Austria,AUT,2022,18200
Azerbaijan,AZE,2022,9709
Bahamas,BHS,2022,798
Bahrain,BHR,2022,1476
Bangladesh,BGD,2022,29127
Barbados,BRB,2022,399
Belarus,BLR,2022,6958
Belgium,BEL,2022,31494
Belize,BLZ,2022,676
Benin,BEN,2022,163
Bhutan,BTN,2022,21
Bolivia,BOL,2022,21923
Bosnia and Herzegovina,BIH,2022,15768
Botswana,BWA,2022,2690
Brazil,BRA,2022,663994
Brunei,BRN,2022,218
Bulgaria,BGR,2022,36953
Burkina Faso,BFA,2022,383
Burma,MMR,2022,19434
Burundi,BDI,2022,38
Cambodia,CMR,2022,3056
Cameroon,CAN,2022,1927
Canada,CPV,2022,39529
Capo Verde,KHM,2022,401
Central African Republic,CAF,2022,113
Chad,TCD,2022,193
Chile,CHL,2022,57580
China,CHN,2022,14469
Colombia,COL,2022,139797
Comoros,COM,2022,160
Congo ,COG,2022,385
Costa Rica,CRI,2022,8421
Cote d'Ivoire,CIV,2022,799
Croatia,HRV,2022,15856
Cuba,CUB,2022,8527
Cyprus,CYP,2022,1020
Czechia,CZE,2022,40194
Denmark,DNK,2022,6256
Djibouti,DJI,2022,189
Dominica,DMA,2022,63
Dominican Republic,DOM,2022,4376
Ecuador,ECU,2022,35598
Egypt,EGY,2022,24641
El Salvador,SLV,2022,4128
Equatorial Guinea,GNQ,2022,183
Eritrea,ERI,2022,103
Estonia,EST,2022,2548
Ethiopia,ETH,2022,7510
Fiji,FJI,2022,862
Finland,FIN,2022,3939
France,FRA,2022,147413
Gabon,GAB,2022,304
Gambia,GMB,2022,365
Georgia,GEO,2022,16811
Germany,DEU,2022,136125
Ghana,GHA,2022,1445
Greece,GRC,2022,29284
Grenada,GRD,2022,220
Guatemala,GTM,2022,17636
Guinea,GIN,2022,442
Guinea-Bissau,GNB,2022,171
Guyana,GUY,2022,1228
Haiti,HTI,2022,835
Holy See,VAT,2022,0
Honduras,HND,2022,10895
Hungary,HUN,2022,46266
Iceland,ISL,2022,119
India,IND,2022,523975
Indonesia,IDN,2022,156321
Iran,IRN,2022,141138
Iraq,IRQ,2022,25212
Ireland,IRL,2022,7103
Israel,ISR,2022,10699
Italy,ITA,2022,164041
Jamaica,JAM,2022,2970
Japan,JPN,2022,29706
Jordan,JOR,2022,14066
Kazakhstan,KAZ,2022,19013
Kenya,KEN,2022,5649
Kiribati,KIR,2022,13
Kuwait,KWT,2022,2555
Kyrgyzstan,KGZ,2022,2991
Laos,LAO,2022,746
Latvia,LVA,2022,5777
Lebanon,LBN,2022,10392
Lesotho,LSO,2022,697
Liberia,LBR,2022,294
Libya,LBY,2022,6430
Liechtenstein,LIE,2022,84
Lithuania,LTU,2022,9111
Luxembourg,LUX,2022,1068
Madagascar,MDG,2022,1391
Malawi,MWI,2022,2634
Malaysia,MYS,2022,35567
Maldives,MDV,2022,298
Mali,MLI,2022,732
Malta,MLT,2022,703
Marshall Islands,MHL,2022,0
Mauritania,MRT,2022,982
Mauritius,MUS,2022,996
Mexico,MEX,2022,324334
Micronesia, Federated States of,2022,0
Monaco,MCO,2022,57
Mongolia,MNG,2022,2179
Montenegro,MNE,2022,2716
Morocco,MAR,2022,16069
Mozambique,MOZ,2022,2201
Namibia,NAM,2022,4025
Nepal,NPL,2022,11952
Netherlands,NLD,2022,22893
New Zealand,NZL,2022,775
Nicaragua,NIC,2022,235
Niger,NER,2022,309
Nigeria,NGA,2022,3143
North Macedonia,MNP,2022,9283
Norway,NOR,2022,3006
Oman,OMN,2022,4258
Pakistan,PAK,2022,30369
Palau,PLW,2022,6
Panama,PAN,2022,8189
Papua New Guinea,PNG,2022,650
Paraguay,PRY,2022,18870
Peru,PER,2022,212891
Philippines,PHL,2022,60439
Poland,POL,2022,116070
Portugal,PRT,2022,22355
Qatar,QAT,2022,677
Romania,ROU,2022,65510
Russia,RUS,2022,368840
Rwanda,RWA,2022,1459
Saint Kitts and Nevis,KNA,2022,43
Saint Lucia,LCA,2022,368
Saint Vincent and the Grenadines,VCT,2022,106
Samoa,WSM,2022,20
San Marino,SMR,2022,115
Sao Tome and Principe,STP,2022,73
Saudi Arabia,SAU,2022,9094
Senegal,SEN,2022,1966
Serbia,SRB,2022,16013
Seychelles,SYC,2022,166
Sierra Leone,SLE,2022,125
Singapore,SGP,2022,1340
Slovakia,SVK,2022,19943
Slovenia,SVN,2022,6602
Solomon Islands,SLB,2022,141
Somalia,SOM,2022,1361
South Africa,ZAF,2022,100407
Spain,ESP,2022,104668
Sri Lanka,LKA,2022,16507
Sudan,SDN,2022,4933
Suriname,SUR,2022,1328
Sweden,SWE,2022,18772
Switzerland,CHE,2022,13719
Syria,SYR,2022,3150
Taiwan*,TWN,2022,881
Tajikistan,TJK,2022,125
Thailand,THA,2022,28860
Timor-Leste,TLS,2022,130
Togo,TGO,2022,273
Tonga,TON,2022,11
Trinidad and Tobago,TTO,2022,3843
Tunisia,TUN,2022,28566
Turkey,TUR,2022,98808
Uganda,UGA,2022,3597
Ukraine,URY,2022,112459
United Arab Emirates,ARE,2022,2302
United Kingdom,GBR,2022,176188
Uruguay,URY,2022,7210
US,USA,2022,996704
Uzbekistan,UZB,2022,1637
Vanuatu,VUT,2022,14
Venezuela,VEN,2022,5709
Vietnam,VNM,2022,43047
Yemen,YEM,2022,2149
Zambia,ZMB,2022,3976
Zimbabwe,ZWE,2022,5471